xlat,xlong,qrain_avg_150.0,rainc_avg,rho_avg_150.0,wsp_avg_150.0
57.180016,4.274536,0.0000062678,0E-8,1.2269641796,10.8601101540
55.148808,6.188141,0.0000054754,0E-8,1.2249246807,10.4611604795
55.303787,6.879761,0.0000053282,0E-8,1.2252619349,10.4666091787
55.322052,5.523499,0.0000052707,0E-8,1.2251439569,10.5120476880
53.457703,5.646912,0.0000051040,0E-8,1.2237447999,9.5659241631
53.128479,5.670288,0.0000052744,0E-8,1.2233974172,8.8897309977
55.077049,6.347137,0.0000053990,0E-8,1.2248711404,10.4440853356
56.670101,6.358185,0.0000058386,0E-8,1.2265350846,10.8206751647
57.261604,5.369293,0.0000063037,0E-8,1.2272214925,10.9843105099
55.387383,4.927155,0.0000054317,0E-8,1.2252448246,10.5376002833
54.362324,5.214233,0.0000051470,0E-8,1.2241218166,10.3364428033
54.829998,5.202545,0.0000052139,0E-8,1.2245982268,10.4213308166
56.153519,5.233734,0.0000056625,0E-8,1.2259863838,10.6593594183
54.281197,6.789185,0.0000051615,0E-8,1.2244804747,10.2549665820
54.834476,5.631927,0.0000054084,0E-8,1.2245936494,10.4136315443
55.457359,4.764618,0.0000053948,0E-8,1.2253264481,10.5595502674
56.116772,4.057556,0.0000053771,0E-8,1.2259122691,10.6584555098
57.383377,5.949921,0.0000063943,0E-8,1.2274547477,11.0770454444
52.756985,5.154694,0.0000051102,0E-8,1.2227797393,8.8276018305
52.997196,6.934174,0.0000048076,0E-8,1.2239383496,8.4022347063
54.773689,4.833160,0.0000051524,0E-8,1.2245447031,10.4183799341
54.515263,6.175842,0.0000052167,0E-8,1.2243556252,10.3352703575
53.324017,4.658386,0.0000050033,0E-8,1.2232077182,10.0473787729
55.738415,5.575348,0.0000055131,0E-8,1.2255451246,10.5929604462
56.180542,5.227325,0.0000056739,0E-8,1.2260147241,10.6647955046
55.439800,5.254364,0.0000054786,0E-8,1.2252881237,10.5449652933
52.635128,4.361603,0.0000051555,0E-8,1.2223060000,9.7928862148
53.477955,5.549927,0.0000050693,0E-8,1.2238064042,9.7069452640
55.749619,6.988007,0.0000052791,0E-8,1.2257654464,10.5298895011
