3layer,,GCG20,,GAG20,,GS,
X,Y,X,Y,X,Y,X,Y
88.2578067186162,75.93202805376973,22.88525812884829,74.84483927527762,67.49990458379429,74.54264172998246,2154.1907157479204,76.53029382073217
96.655750503933,75.13379310344828,23.949315135156354,74.06827586206896,71.28331676615541,73.72995908825249,2380.708229368916,75.82432708145157
105.85277895318437,74.33917007597896,25.083563907251612,73.26971255512458,75.2787915851958,72.9172764465225,2631.0445179952726,75.13149460708783
115.92492690495182,73.57344243132671,26.4457727877581,72.41598533552946,79.49821528531807,72.1226534190532,2907.7041740255454,74.42881143403645
127.53374879364547,72.76075978959673,27.698254754041642,71.6266160140269,83.95414034241291,71.3370601987142,3213.4551528180523,73.74911322458956
140.30508809116102,71.95168907071888,29.010054747764034,70.83658997927847,88.97031159209871,70.51858921908016,3551.356465839076,73.06284788268424
153.65545658989402,71.20763296317944,30.58549890504182,70.0288326868923,94.05574491155386,69.72373465809468,3924.78878580171,72.39300037192498
169.04264617372272,70.41300993571011,32.06052071785382,69.22435896073534,99.43185532973821,68.92934316414151,4337.488269996954,71.72971999362414
186.81782254379175,69.61181977578238,33.829568011742104,68.40839275277614,105.9329871154579,68.0953594389246,4793.583940216579,71.06315604909409
206.46209468429984,68.81719674831305,35.72573661418436,67.54153126826417,113.01184159209556,67.25618936294563,5297.638993250453,70.40315923702246
228.17200179836559,68.02257372084372,37.728186661534224,66.67466978375218,120.26689183485352,66.39064130492535,5854.6964552663285,69.75958025609691
252.16474958409094,67.23451782583285,39.842875295744726,65.84693746347165,128.81526405118674,65.50801870251314,6470.329636840106,69.11271770894214
278.6803833583348,66.44974549705117,42.07609356032886,65.02221507890123,138.1766045287884,64.604381276234,7150.697893434508,68.47570586047499
307.9841896888522,65.70109239679081,44.5900957281265,64.18383221687722,148.84419072310433,63.74127243884111,7902.608249205076,67.8485447106955
340.36935056290895,64.92617076669677,46.96385644415412,63.379611072737895,158.62224266293748,62.936329631794266,8733.583500674024,67.221383560916
376.15987664710235,64.19065193135327,49.728789155762044,62.58347255316279,169.04264617372272,62.13138682474743,9651.937481643221,66.60407310982413
415.7138489853857,63.45513309600977,52.57122543347574,61.7714845119813,180.14759938891643,61.341923687066874,10666.858242365206,65.98347909250305
459.4270015682059,62.71633069443706,55.51787574317732,60.99191116306253,191.98207257260952,60.55762043917508,11788.499975172177,65.37601934009882
507.73668061602757,62.00051325646883,58.69120907288546,60.19404666636694,204.59399022967136,59.7991166402271,13028.084606271128,64.77841028638224
561.1262201895404,61.281412252271394,62.634347003687836,59.341077192824706,219.0275763792318,58.97675920514319,14398.014070121704,64.1742341002072
620.1297779041377,60.57216194676159,66.56258024154506,58.50199973025221,235.54747381831015,58.127957334891875,15911.994389692314,63.586475745178255
685.3376791295475,59.88918017108549,71.17541195834859,57.62078316773817,253.3133650993929,57.27464056107539,17585.172804005982,62.99543382392009
757.4023231428841,59.183213431804894,77.04078697434409,56.67128526645767,272.4192278431062,56.45744301578024,19434.289314925445,62.41752616757877
837.0447103256373,58.516649487274854,83.32063512252117,55.63422559906487,292.9661278216231,55.635730566919925,21477.84416938947,61.83961851123745
925.0616557086463,57.830384145369536,90.98335094198151,54.52332778851773,315.0627535741603,54.82304792518994,23736.2829527449,61.268277987354544
1022.3337610359094,57.16382020083948,98.87724085223854,53.57112966519161,338.8259913452206,54.03293980128579,26232.201145017607,60.70350459593008
1129.834225107055,56.510390521226284,105.37280370909983,52.79198630708858,364.38154338687593,53.25186148451198,28990.570186689038,60.145298336964025
1248.6385805451448,55.860244407842295,112.29508090855177,52.02832261835184,393.64954401221604,52.421620884473015,32038.98731574708,59.59037564422719
