time,wsp_150.0,power,price,Income
2018-11-04T02:00:00.000,10.705887,8.219169832810817,41.9,344.3832159947732
2018-11-04T03:00:00.000,9.74044,6.190072212670799,41.19,254.9690744399102
2018-11-04T04:00:00.000,9.999546,6.697316709259453,41.04,274.8578777480079
2018-11-04T05:00:00.000,10.358975,7.445782466953729,41.34,307.8086471838672
2018-11-04T06:00:00.000,9.818487,6.340064809158447,41.95,265.96571874419686
2018-11-04T07:00:00.000,8.834714,4.61888845099958,43.13,199.2126588916119
2018-11-04T08:00:00.000,8.431145,4.014390944263585,44.03,176.75363327592567
2018-11-04T09:00:00.000,8.72095,4.442744916931301,44.51,197.7465762526122
2018-11-04T10:00:00.000,7.137293,2.435345407402786,44.7,108.85993971090454
2018-11-04T11:00:00.000,6.43875,1.7879883209561742,44.66,79.85155841390274
2018-11-04T12:00:00.000,6.169951,1.573276783875054,44.53,70.05801518595617
2018-11-04T13:00:00.000,6.765152,2.073923178807613,44.42,92.12366760263417
2018-11-04T14:00:00.000,7.420906,2.7373528371725655,45.87,125.56237464110558
2018-11-04T15:00:00.000,8.048746,3.492566273191152,51.01,178.15580559548064
2018-11-04T16:00:00.000,8.967402,4.830142088641188,52.3,252.61643123593413
2018-11-04T17:00:00.000,10.529144,7.818783446971677,62.99,492.50516932474596
2018-11-04T18:00:00.000,11.283906,9.623617825442366,67.17,646.4184093349637
2018-11-04T19:00:00.000,11.602961,10.46324721446694,57.69,603.6247318025977
2018-11-04T20:00:00.000,11.026466,8.979848651126678,48.04,431.3919292001256
2018-11-04T21:00:00.000,10.619107,8.02091621063694,45.0,360.9412294786623
2018-11-04T22:00:00.000,11.295232,9.65262547646272,44.78,432.2445688360006
2018-11-04T23:00:00.000,12.307443,12.487154589413663,42.93,536.0735465235285
2018-11-05T00:00:00.000,12.782543,13.989808705930752,40.54,567.1468449384327
2018-11-05T01:00:00.000,12.114438,11.908849418818614,42.66,508.031516206802
2018-11-05T02:00:00.000,11.873338,11.211881069605518,43.13,483.568430532086
2018-11-05T03:00:00.000,11.520288,10.241179965709152,41.72,427.2620281693858
2018-11-05T04:00:00.000,10.678466,8.156176148602055,40.58,330.9776281102714
2018-11-05T05:00:00.000,10.07796,6.856111626632696,42.53,291.59042748068856
2018-11-05T06:00:00.000,8.672082,4.368477631125609,54.22,236.85885715963053
2018-11-05T07:00:00.000,11.939948,11.401639235734741,67.64,771.2068779050979
2018-11-05T08:00:00.000,11.05029,9.038180617504487,69.91,631.8592069697387
2018-11-05T09:00:00.000,8.482829,4.088670626852759,67.5,275.98526731256123
2018-11-05T10:00:00.000,7.779517,3.153681943323068,68.28,215.33340309009907
2018-11-05T11:00:00.000,6.937924,2.236910476137818,68.31,152.80335462497436
2018-11-05T12:00:00.000,6.886811,2.1878345805570416,65.83,144.02515043807006
2018-11-05T13:00:00.000,6.224666,1.6155044131148812,67.17,108.51343142892658
2018-11-05T14:00:00.000,6.463824,1.8089583068224515,68.21,123.38904610835941
2018-11-05T15:00:00.000,7.299546,2.6052388041224415,69.24,180.38673479743784
2018-11-05T16:00:00.000,9.519988,5.779219529265541,69.8,403.38952314273473
2018-11-05T17:00:00.000,10.618772,8.020157129247698,68.81,551.8670120635342
2018-11-05T18:00:00.000,10.833264,8.5160454248346,59.33,505.2569750554368
2018-11-05T19:00:00.000,10.575741,7.923050210972304,58.57,464.05305085664787
2018-11-05T20:00:00.000,12.031587,11.66618170237506,50.9,593.8086486508905
2018-11-05T21:00:00.000,12.153462,12.024305763332219,46.31,556.8455998999151
2018-11-05T22:00:00.000,13.767383,14.71600903967945,44.76,658.6885646160522
2018-11-05T23:00:00.000,11.478225,10.129410932399972,43.0,435.5646700931988
2018-11-06T00:00:00.000,12.230998,12.255913143186985,42.92,526.0237921055855
2018-11-06T01:00:00.000,11.95975,11.458461068069171,42.39,485.7241646754522
2018-11-06T02:00:00.000,11.715686,10.771176912066839,42.23,454.8668009965826
2018-11-06T03:00:00.000,12.160546,12.045344173974954,42.14,507.59080349130454
2018-11-06T04:00:00.000,12.722401,13.793269737486032,42.52,586.4898292379061
2018-11-06T05:00:00.000,12.447607,12.918663722261693,45.29,585.086279981232
2018-11-06T06:00:00.000,12.988523,14.677067523348827,57.1,838.060555583218
2018-11-06T07:00:00.000,12.183498,12.113676682614111,67.95,823.1243305836289
2018-11-06T08:00:00.000,14.484299,14.71600903967945,70.1,1031.5922336815295
2018-11-06T09:00:00.000,15.505692,14.71600903967945,68.25,1004.3676169581225
2018-11-06T10:00:00.000,12.841229,14.18338075338199,64.72,917.9484023588824
2018-11-06T11:00:00.000,12.229895,12.252597701598424,63.86,782.4508892240754
2018-11-06T12:00:00.000,11.791529,10.981719822257784,60.73,666.9198448057151
2018-11-06T13:00:00.000,14.164676,14.71600903967945,62.41,918.4261241663944
2018-11-06T14:00:00.000,13.012147,14.71600903967945,63.14,929.1688107653605
2018-11-06T15:00:00.000,15.084004,14.71600903967945,64.34,946.8280216129759
2018-11-06T16:00:00.000,13.957282,14.71600903967945,66.89,984.3538446641585
2018-11-06T17:00:00.000,14.61095,14.71600903967945,74.68,1098.9915550832616
2018-11-06T18:00:00.000,15.038801,14.71600903967945,72.94,1073.385699354219
2018-11-06T19:00:00.000,15.623787,14.71600903967945,70.97,1044.3951615460505
2018-11-06T20:00:00.000,14.34527,14.71600903967945,59.26,872.0706956914042
2018-11-06T21:00:00.000,15.314917,14.71600903967945,52.0,765.2324700633314
2018-11-06T22:00:00.000,14.261336,14.71600903967945,47.99,706.2212738142168
2018-11-06T23:00:00.000,14.357628,14.71600903967945,44.49,654.7152421753387
2018-11-07T00:00:00.000,15.071507,14.71600903967945,43.45,639.4105927740721
2018-11-07T01:00:00.000,14.482476,14.71600903967945,42.51,625.5775442767734
2018-11-07T02:00:00.000,14.763263,14.71600903967945,41.59,612.0388159602684
2018-11-07T03:00:00.000,14.677602,14.71600903967945,40.64,598.0586073725729
2018-11-07T04:00:00.000,14.293641,14.71600903967945,41.77,614.6876975874106
